City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,mayor pablo lagerenza,-19.9309,-60.7718,95.74,27,50,1.45,PY,1675607731
312,villa maria,-32.4075,-63.2402,82.81,48,0,12.19,AR,1675607732
313,sikonge,-5.6333,32.7667,73.22,70,100,2.93,TZ,1675607732
314,kampene,-3.6,26.6667,79.18,70,86,0.47,CD,1675607733
315,las palmas,28.4204,-14.0131,63.39,55,0,8.05,ES,1675607733
316,lagos,6.5833,3.75,95.32,63,100,10.33,NG,1675607734
317,gandiaye,14.2333,-16.2667,93.27,7,29,6.91,SN,1675607734
318,erzurum,40.0,41.5,19.08,96,100,4.5,TR,1675607734
319,saga,33.2493,130.2988,39.04,55,0,3.44,JP,1675607735
320,hasaki,35.7333,140.8333,43.2,75,79,10.22,JP,1675607735
321,puerto escondido,15.85,-97.0667,74.23,88,0,5.75,MX,1675607736
322,bagaha,27.1,84.0833,61.65,58,0,6.58,IN,1675607736
323,sungairaya,0.7,108.9,77.09,90,100,4.38,ID,1675607736
324,mareeba,-17.0,145.4333,75.92,96,96,1.97,AU,1675607737
325,vestmannaeyjar,63.4427,-20.2734,47.39,93,100,39.12,IS,1675607737
326,kamaishi,39.2667,141.8833,30.4,76,14,5.68,JP,1675607738
327,batie,9.8833,-2.9167,100.18,9,31,6.38,BF,1675607738
328,maloy,61.9353,5.1136,42.73,69,64,11.34,NO,1675607738
329,kismayo,-0.3582,42.5454,77.61,76,68,16.4,SO,1675607739
330,san rafael,-34.6177,-68.3301,89.29,17,3,12.21,AR,1675607531
331,sitka,57.0531,-135.33,35.49,80,100,4.61,US,1675607540
332,dangriga,16.9692,-88.2321,73.53,83,2,6.55,BZ,1675607740
333,jerantut,3.936,102.3626,72.91,100,100,0.29,MY,1675607740
334,srivaikuntam,8.6167,77.9333,77.49,77,6,11.34,IN,1675607741
335,ciudad bolivar,8.1222,-63.5497,87.26,46,78,15.05,VE,1675607561
336,mnogovershinnyy,53.9353,139.9242,-13.25,96,96,3.69,RU,1675607741
337,salta,-24.7859,-65.4117,72.57,70,40,4.0,AR,1675607742
338,hersbruck,49.5125,11.4339,35.74,82,100,2.59,DE,1675607742
339,mega,4.05,38.3,79.59,12,7,16.28,ET,1675607743
340,vila franca do campo,37.7167,-25.4333,63.01,67,0,7.45,PT,1675607743
341,qena,26.1615,32.7183,69.04,23,94,8.63,EG,1675607743
342,leh,34.1667,77.5833,9.88,51,100,0.09,IN,1675607744
343,grindavik,63.8424,-22.4338,48.15,100,100,36.82,IS,1675607744
344,hamada,34.8833,132.0833,37.69,74,3,5.32,JP,1675607745
345,coquimbo,-29.9533,-71.3436,69.53,68,0,10.36,CL,1675607585
346,san joaquin,37.9333,-121.3011,51.93,86,75,6.91,US,1675607745
347,palmer,42.1584,-72.3287,36.25,53,40,12.66,US,1675607456
348,el tigre,8.8875,-64.2454,82.38,51,99,17.72,VE,1675607746
349,benjamin constant,-4.3831,-70.0311,75.33,94,100,2.3,BR,1675607747
350,oboyan,51.2098,36.2792,24.53,89,100,9.4,RU,1675607610
351,ostrovnoy,68.0531,39.5131,4.87,97,80,10.89,RU,1675607573
352,naze,28.3667,129.4833,63.52,72,100,11.65,JP,1675607747
353,beringovskiy,63.05,179.3167,-19.71,94,99,11.7,RU,1675607748
354,chapais,49.7834,-74.8492,4.78,88,100,7.4,CA,1675607591
355,mabay,6.0577,124.4666,77.68,84,100,1.3,PH,1675607749
356,tanout,14.9709,8.8879,93.58,9,68,8.86,NE,1675607749
357,beloha,-25.1667,45.05,76.84,75,100,17.47,MG,1675607749
358,guerande,47.3291,-2.4283,56.46,76,68,10.16,FR,1675607750
359,port said,31.2565,32.2841,62.58,55,0,11.5,EG,1675607750
360,mildura,-34.2,142.15,65.07,60,0,7.9,AU,1675607751
361,bilma,18.6853,12.9164,84.83,11,53,11.95,NE,1675607751
362,pilar,-9.5972,-35.9567,82.33,48,53,11.92,BR,1675607649
363,saposoa,-6.934,-76.7716,86.54,50,40,2.62,PE,1675607752
364,nyurba,63.2842,118.3319,-52.91,100,63,2.66,RU,1675607752
365,kudahuvadhoo,2.6708,72.8944,80.51,72,65,2.59,MV,1675607753
